State	Year	Assault	Vehicular	Larceny	Rape	Robbery	Burglary	Murder	Property	Population
Alaska	1976	1364	3078.0	13969	179	124.9	4653	43	21700	382000
Alaska	1977	1156	3066.0	13715	210	96.8	5420	44	22201	407000
Alaska	1978	1137	2666.0	14522	224	91.3	5397	52	22585	403000
Alaska	1979	1203	2501.0	15076	292	109.6	5616	54	23193	406000
Alaska	1980	1270	2469.0	14916	250	81.8	5545	39	22930	440142
Alaska	1981	1584	2845.0	16310	421	114.6	5479	60	24634	412000
Alaska	1982	1691	2603.0	16672	374	133.8	5204	81	24479	438000
Alaska	1983	1923	3084.0	17085	486	97.1	5720	66	25889	479000
Alaska	1984	2045	3144.0	18140	458	109.4	6184	58	27468	500000
Alaska	1985	2094	3159.0	18220	402	92.9	6209	51	27588	521000
Alaska	1986	2142	3224.0	20879	388	88.0	6204	46	30307	534000
Alaska	1987	1613	2553.0	18195	341	73.1	5093	53	25841	525000
Alaska	1988	1983	2334.0	15911	296	72.9	4321	29	22566	513000
Alaska	1989	1946	2398.0	15811	279	67.6	4358	42	22567	527000
Alaska	1990	2021	3110.0	17428	401	76.7	4919	41	25457	550043
Alaska	1991	2289	3043.0	20375	523	113.2	5582	42	29000	570000
Alaska	1992	2614	2918.0	20728	579	109.0	5170	44	28816	587000
Alaska	1993	3268	2701.0	21201	502	122.4	4893	54	28795	599000
Alaska	1994	3302	3275.0	21824	418	146.2	4848	38	29947	606000
Alaska	1995	3179	3151.0	21891	485	155.1	5055	55	30097	604000
Alaska	1996	3264	2992.0	20557	398	117.0	5118	45	28667	607000
Alaska	1997	3165	2784.0	20780	403	106.4	4276	54	27840	609000
Alaska	1998	3021	2607.0	18611	421	86.6	4098	41	25316	614000
Alaska	1999	2773	2658.0	16654	517	91.4	3787	52	23099	619500
Alaska	2000	2540	2350.0	16838	497	78.2	3899	27	23087	626932
Alaska	2001	2681	2618.0	16695	501	81.1	3847	39	23160	633630
Alaska	2002	2594	2471.0	17739	511	76.2	3908	33	24118	641482
Alaska	2003	2787	2461.0	18051	605	68.8	3874	39	24386	648280
Alaska	2004	3117	2240.0	16159	558	68.0	3773	37	22172	657755
Alaska	2005	3087	2595.0	17249	538	81.0	4131	32	23975	663253
Alaska	2006	3462	2536.0	17284	512	89.5	4155	36	23975	670053
Alaska	2007	3351	2433.0	16929	545	85.0	3734	43	23096	683478
Alaska	2008	3356	1628.0	15225	447	94.0	3237	27	20090	686293
Alaska	2009	3235	1687.0	15251	513	93.6	3600	22	20538	698473
Alaska	2010	3379	1619.0	15535	533	83.2	3105	31	20259	714146
Alaska	2011	3374	1388.0	14854	436	79.6	2852	30	19094	723860
Alaska	2012	3169	1522.0	15565	583	86.1	2950	30	20037	731449
Arizona	1960	1711	4406.0	23207	209	54.2	8926	78	36539	1302161
Arizona	1961	1218	4943.0	26099	200	56.5	10262	84	41304	1391000
Arizona	1962	1475	5396.0	28605	198	56.4	11693	86	45694	1509000
Arizona	1963	1815	5737.0	31213	222	57.5	12944	93	49894	1559000
Arizona	1964	2059	5348.0	35190	259	61.2	13726	83	54264	1581000
Arizona	1965	1831	4620.0	36208	286	55.7	13129	80	53957	1608000
Arizona	1966	1980	6024.0	42555	296	55.5	15066	98	63645	1618000
Arizona	1967	2304	6654.0	49923	273	74.9	18583	91	75160	1634000
Arizona	1968	2536	7034.0	50471	313	86.7	19496	105	77001	1670000
Arizona	1969	3558	7426.0	53231	390	99.9	22053	102	82710	1693000
Arizona	1970	3788	8883.0	62918	478	120.2	26464	168	98265	1772482
Arizona	1971	4635	8336.0	67566	553	113.3	26549	124	102451	1849000
Arizona	1972	5589	8359.0	66883	650	120.8	31429	142	106671	1945000
Arizona	1973	6042	11228.0	76560	637	147.3	40301	167	128089	2058000
Arizona	1974	6793	12968.0	97286	807	204.2	54557	206	164811	2153000
Arizona	1975	7424	11478.0	105588	789	170.0	56265	191	173331	2224000
Arizona	1976	6535	9575.0	105389	674	129.9	53722	177	168686	2270000
Arizona	1977	7171	10091.0	102571	786	138.2	53866	217	166528	2296000
Arizona	1978	7900	10933.0	106042	1040	162.9	49023	221	165998	2354000
Arizona	1979	8884	12085.0	116976	1120	175.7	48916	219	177977	2450000
Arizona	1980	10909	12852.0	132814	1227	193.6	58527	279	204193	2715357
Arizona	1981	9830	11451.0	127469	1064	177.6	57655	227	196575	2793000
Arizona	1982	8912	10577.0	124723	1100	158.6	53861	236	189161	2860000
Arizona	1983	9265	10579.0	114721	1241	132.4	49440	213	174740	2963000
Arizona	1984	10199	11739.0	118604	1316	131.1	52327	238	182670	3053000
Arizona	1985	12820	12286.0	135720	1458	146.5	59585	254	207591	3187000
Arizona	1986	14489	13892.0	143845	1425	169.2	63278	307	221015	3317000
Arizona	1987	14406	14308.0	153296	1396	138.4	55059	253	222663	3386000
Arizona	1988	14758	15914.0	167121	1345	137.0	54773	294	237808	3466000
Arizona	1989	14853	24426.0	181574	1286	139.0	59284	237	265284	3556000
Arizona	1990	16230	31648.0	172375	1500	160.9	61206	284	265229	3665228
Arizona	1991	17056	32291.0	159987	1590	165.7	60281	291	252559	3750000
Arizona	1992	17880	31481.0	158053	1647	153.1	54095	312	243629	3832000
Arizona	1993	19903	33998.0	172689	1488	162.9	57684	339	264371	3936000
Arizona	1994	20161	43467.0	190649	1465	162.0	60157	426	294273	4075000
Arizona	1995	20909	48830.0	207763	1418	173.8	59762	439	316355	4218000
Arizona	1996	18776	41034.0	188300	1381	167.8	55630	377	284964	4428000
Arizona	1997	18997	44201.0	195045	1492	165.7	60077	375	299323	4555000
Arizona	1998	17442	40391.0	183137	1451	165.2	56473	376	280001	4669000
Arizona	1999	17279	38247.0	167731	1383	152.5	49423	384	255401	4778332
Arizona	2000	17841	43204.0	176705	1577	146.3	51902	359	271811	5130632
Arizona	2001	17889	52203.0	186850	1518	167.1	54821	400	293874	5306966
Arizona	2002	20176	57668.0	201541	1608	147.0	59087	387	318296	5441125
Arizona	2003	18722	56997.0	198725	1856	136.6	58613	441	314335	5579222
Arizona	2004	18921	55306.0	179012	1896	134.5	56885	414	291203	5739879
Arizona	2005	19448	54905.0	176112	2006	144.1	56328	445	287345	5953007
Arizona	2006	20983	56650.0	178321	2449	153.9	59418	533	294389	6166318
Arizona	2007	20170	50244.0	177076	2353	154.0	59988	548	287308	6338755
Arizona	2008	19096	38587.0	169460	2200	150.9	58606	462	266653	6500180
Arizona	2009	17270	26437.0	155976	2279	124.3	54308	380	236721	6595778
Arizona	2010	16976	21733.0	154137	2191	108.4	50932	408	226802	6413158
Arizona	2011	16748	19801.0	155400	2499	110.5	54695	397	229896	6467315
Arizona	2012	18087	19158.0	159838	2277	112.7	52934	358	231930	6553255
Arkansas	1960	1170	899.0	10250	159	24.8	5399	152	16548	1786272
Arkansas	1961	1070	1089.0	10211	130	24.8	5536	163	16836	1797000
Arkansas	1962	999	1347.0	11169	124	21.9	5683	144	18199	1823000
Arkansas	1963	1275	1547.0	12315	113	25.1	6087	137	19949	1858000
Arkansas	1964	1772	1876.0	14622	157	29.2	7135	147	23633	1933000
Arkansas	1965	1879	1715.0	14254	203	23.7	6344	115	22313	1960000
Arkansas	1966	2280	1666.0	15140	192	29.4	7044	139	23850	1955000
Arkansas	1967	3175	1692.0	17301	279	35.2	8735	173	27728	1968000
Arkansas	1968	3052	2077.0	21506	349	39.6	11463	163	35046	2012000
Arkansas	1969	2961	2213.0	24069	347	44.4	12989	197	39271	1995000
Arkansas	1970	2876	2296.0	25388	328	45.6	14606	195	42290	1923295
Arkansas	1971	3197	2394.0	24173	332	48.7	14014	204	40581	1944000
Arkansas	1972	3208	2258.0	24891	342	54.8	14541	206	41690	1978000
Arkansas	1973	3871	2952.0	29204	398	71.5	18088	180	50244	2037000
Arkansas	1974	4134	3380.0	35989	492	80.7	22170	231	61539	2062000
Arkansas	1975	4755	3550.0	41199	547	87.6	22791	213	67540	2116000
Arkansas	1976	4069	3192.0	42474	510	76.7	19771	213	65437	2109000
Arkansas	1977	4360	3933.0	39924	592	83.2	20852	188	64709	2144000
Arkansas	1978	5070	4364.0	42647	505	80.0	21140	199	68151	2186000
Arkansas	1979	5565	4225.0	45267	595	74.6	21457	198	70949	2180000
Arkansas	1980	4989	4273.0	49558	609	80.9	25559	210	79390	2284037
Arkansas	1981	4557	4281.0	50959	577	77.4	24732	209	79972	2294000
Arkansas	1982	4824	4262.0	52450	622	78.8	24547	187	81259	2291000
Arkansas	1983	4552	4043.0	48140	586	69.3	22380	178	74563	2328000
Arkansas	1984	5089	3937.0	46807	697	67.6	20810	176	71554	2349000
Arkansas	1985	5709	4208.0	49957	686	68.5	22207	187	76372	2359000
Arkansas	1986	6598	4623.0	54677	686	79.7	24429	191	83729	2372000
Arkansas	1987	6988	4932.0	60862	779	79.1	25743	182	91537	2388000
Arkansas	1988	7209	5156.0	60363	780	84.1	26443	211	91962	2422000
Arkansas	1989	7610	6391.0	63084	924	110.6	28738	203	98213	2406000
Arkansas	1990	8590	6803.0	66630	1019	113.2	28464	241	101897	2350725
Arkansas	1991	9533	8097.0	71487	1058	135.6	29093	264	108677	2372000
Arkansas	1992	9571	7900.0	66288	990	125.5	26214	259	100402	2399000
Arkansas	1993	10079	7818.0	67767	1028	124.9	26646	247	102231	2424000
Arkansas	1994	10118	7726.0	68478	1028	128.7	26911	294	103115	2453000
Arkansas	1995	9435	8082.0	69935	925	125.7	24763	259	102780	2484000
Arkansas	1996	9032	7855.0	73010	1046	114.1	23925	219	104790	2510000
Arkansas	1997	9131	7938.0	72253	1098	111.5	25568	250	105759	2523000
Arkansas	1998	8906	7187.0	65525	893	96.2	23559	201	96271	2538000
Arkansas	1999	7971	6664.0	63927	710	79.3	21692	143	92283	2551373
Arkansas	2000	8887	6932.0	69740	848	74.8	21443	168	98115	2673400
Arkansas	2001	8969	7320.0	69590	892	80.9	22196	148	99106	2694698
Arkansas	2002	8081	6813.0	71129	754	93.3	23229	142	101171	2706268
Arkansas	2003	9131	6007.0	68061	911	81.6	25016	180	99084	2727774
Arkansas	2004	10083	6518.0	74242	1183	86.3	30151	176	110911	2750000
Arkansas	2005	10747	7286.0	75510	1202	91.2	30118	189	112914	2775708
Arkansas	2006	11259	7515.0	72646	1325	97.8	31864	205	112025	2810872
Arkansas	2007	10629	6999.0	73096	1294	109.5	32035	198	112130	2834797
Arkansas	2008	10244	6543.0	69905	1463	97.3	33912	165	110360	2855390
Arkansas	2009	10772	6097.0	68228	1378	89.2	34753	179	109078	2889450
Arkansas	2010	10887	5561.0	65796	1321	81.1	32463	134	103820	2921588
Arkansas	2011	10426	5769.0	70645	1230	80.2	34016	160	110430	2938582
Arkansas	2012	10095	5724.0	70327	1247	78.7	31890	173	107941	2949131
California	1960	18796	53453.0	311956	2859	97.3	143102	616	508511	15717204
California	1961	19684	54559.0	319834	3033	90.5	146615	605	521008	16397000
California	1962	20645	57555.0	348373	2946	91.9	158523	657	564451	16970000
California	1963	22208	63717.0	384289	3080	93.6	175703	673	623709	17590000
California	1964	24998	75787.0	427960	3621	103.2	196883	740	700630	18084000
California	1965	26581	81773.0	444217	3948	113.3	225007	880	750997	18602000
California	1966	30101	87156.0	474122	4432	118.0	241666	868	802944	18918000
California	1967	33076	97322.0	526477	4792	149.0	276958	1039	900757	19153000
California	1968	37408	119444.0	582838	5744	192.5	316081	1150	1018363	19221000
California	1969	42199	131943.0	638249	7053	201.8	325891	1386	1096083	19443000
California	1970	45083	137514.0	682811	7005	206.9	349788	1376	1170113	19953134
California	1971	48304	144375.0	711417	7300	235.5	392277	1642	1248069	20223000
California	1972	51920	139440.0	663568	8127	238.6	398960	1791	1201968	20468000
California	1973	56813	130997.0	643488	8357	240.4	407824	1862	1182309	20601000
California	1974	64357	133549.0	737067	8494	252.7	433194	1985	1303810	20907000
California	1975	67999	133086.0	784639	8807	282.4	469726	2209	1387451	21185000
California	1976	72889	138650.0	806086	9614	275.6	467980	2220	1412716	21520000
California	1977	78390	145270.0	766317	10825	287.0	468452	2515	1380039	21896000
California	1978	83464	154108.0	777783	11316	306.1	488966	2611	1420857	22294000
California	1979	93129	167563.0	847148	12239	333.8	496310	2952	1511021	22696000
California	1980	102766	174834.0	913070	13693	384.2	545138	3411	1633042	23532680
California	1981	97995	162557.0	921939	13566	388.2	540806	3143	1625302	24159000
California	1982	94133	164530.0	935831	12529	372.1	499466	2779	1599827	24724000
California	1983	93933	158904.0	867123	12093	340.9	460460	2639	1486487	25174000
California	1984	97246	161309.0	857328	11702	327.5	443094	2717	1461731	25622000
California	1985	101185	177237.0	890967	11421	327.7	448506	2770	1516710	26365000
California	1986	140701	205597.0	913004	12119	342.9	457698	3038	1576299	26981000
California	1987	155569	229624.0	896335	12109	301.3	419969	2924	1545928	27663000
California	1988	161055	265913.0	933636	11780	305.8	407631	2936	1607180	28168000
California	1989	172581	298445.0	972603	11966	331.8	410468	3158	1681516	29063000
California	1990	182602	302214.0	951580	12688	377.0	400392	3553	1654186	29760021
California	1991	189428	315615.0	986120	12896	411.3	424656	3859	1726391	30380000
California	1992	198045	320112.0	968534	12761	424.1	427491	3921	1716137	30867000
California	1993	194083	319295.0	945407	11766	405.1	414182	4096	1678884	31211000
California	1994	191548	308205.0	929640	10984	356.8	384257	3703	1622102	31431000
California	1995	186458	280479.0	902456	10554	331.2	353895	3531	1536830	31589000
California	1996	167614	242466.0	830457	10244	295.6	312212	2916	1385135	31878000
California	1997	163346	228722.0	784405	10189	252.5	299240	2579	1312367	32268000
California	1998	149148	195517.0	724262	9782	210.6	269012	2171	1188791	32667000
California	1999	136472	168480.0	660991	9363	181.1	223814	2005	1053285	33145121
California	2000	138418	182035.0	651855	9785	177.9	222293	2079	1056183	33871648
California	2001	136087	204177.0	697739	9960	186.7	232273	2206	1134189	34600463
California	2002	130827	222364.0	715692	10198	185.6	238428	2395	1176484	35001986
California	2003	129380	241326.0	731486	9994	179.8	242274	2407	1215086	35462712
California	2004	115400	252604.0	728687	9615	172.3	245903	2392	1227194	35842038
California	2005	114661	257543.0	692467	9392	176.0	250521	2503	1200531	36154147
California	2006	111620	243655.0	669103	9235	195.1	247230	2486	1159988	36457549
California	2007	109547	220134.0	654526	9046	193.4	237850	2262	1112510	36553215
California	2008	104896	192529.0	650656	8903	188.8	237811	2142	1080996	36756666
California	2009	100156	163833.0	615402	8713	173.4	230198	1972	1009433	36961664
California	2010	95877	152524.0	600558	8331	155.6	228857	1809	981939	37338198
California	2011	91195	146842.0	596905	7665	144.1	230075	1792	973822	37683933
California	2012	94702	168608.0	635090	7837	148.6	245767	1884	1049465	38041430
Colorado	1960	744	3750.0	21949	229	77.7	9996	73	35695	1753947
Colorado	1961	713	4924.0	23551	230	91.7	11681	83	40156	1781000
Colorado	1962	987	6144.0	28740	283	85.2	12988	96	47872	1907000
Colorado	1963	836	6010.0	30465	285	68.3	13149	94	49624	1961000
Colorado	1964	1378	5332.0	31829	336	67.3	13367	82	50528	1966000
Colorado	1965	1547	4896.0	32532	318	54.5	12817	69	50245	1969000
Colorado	1966	1854	5898.0	36205	343	53.8	14057	79	56160	1977000
Colorado	1967	1954	6090.0	39885	412	67.9	15590	81	61565	1975000
Colorado	1968	2765	8614.0	46326	535	96.5	18780	110	73720	2048000
Colorado	1969	3234	10647.0	53743	605	110.7	23798	112	88188	2100000
Colorado	1970	4093	12988.0	66043	795	129.1	30481	137	109512	2207259
Colorado	1971	4424	12895.0	71423	877	134.9	33104	149	117422	2283000
Colorado	1972	5122	13890.0	71154	905	141.4	37242	196	122286	2357000
Colorado	1973	4981	13951.0	70931	944	162.9	38963	193	123845	2437000
Colorado	1974	5530	13443.0	83722	910	165.7	46005	151	143170	2496000
Colorado	1975	6084	11838.0	94873	1051	174.1	50710	188	157421	2534000
Colorado	1976	6113	11418.0	104443	873	139.7	48558	176	164419	2583000
Colorado	1977	7670	12496.0	102225	1100	170.7	50684	166	165405	2619000
Colorado	1978	7526	13028.0	106185	1323	159.2	49917	196	169130	2670000
Colorado	1979	8486	13345.0	117898	1472	157.0	49741	161	180984	2772000
Colorado	1980	8899	12903.0	124514	1510	160.1	58455	198	195872	2878407
Colorado	1981	9438	12264.0	129658	1352	159.5	60197	239	202119	2963000
Colorado	1982	9229	12097.0	134873	1356	150.6	53260	182	200230	3045000
Colorado	1983	9469	11698.0	133271	1316	126.4	48101	202	193070	3139000
Colorado	1984	9503	12626.0	128859	1238	114.0	49619	184	191104	3178000
Colorado	1985	9697	13988.0	137868	1321	124.2	56480	189	208336	3231000
Colorado	1986	10762	15876.0	138219	1382	144.8	58531	230	212626	3267000
Colorado	1987	9958	14379.0	132266	1344	118.8	50580	191	197225	3296000
Colorado	1988	10842	13885.0	128331	1269	98.8	45503	187	187719	3290000
Colorado	1989	11304	15022.0	128195	1202	90.0	41475	146	184692	3317000
Colorado	1990	12684	14112.0	128172	1521	90.6	39822	138	182106	3294394
Colorado	1991	13472	14401.0	132717	1588	107.4	39117	199	186235	3377000
Colorado	1992	14049	17662.0	131169	1641	120.5	37853	216	186684	3470000
Colorado	1993	14230	16058.0	124787	1633	116.7	36011	206	176856	3566000
Colorado	1994	12944	14365.0	127600	1579	106.9	33843	199	175808	3656000
Colorado	1995	11194	14520.0	136184	1480	96.2	35001	216	185705	3747000
Colorado	1996	9763	15206.0	130576	1765	98.2	34436	180	180218	3823000
Colorado	1997	9063	16107.0	119801	1677	83.3	30994	157	166902	3893000
Colorado	1998	9704	16087.0	115871	1883	81.5	31231	183	163189	3971000
Colorado	1999	8891	14795.0	109228	1679	75.3	26979	185	151002	4056133
Colorado	2000	9425	16961.0	112843	1774	70.5	27133	134	156937	4301261
Colorado	2001	9849	20994.0	121360	1930	80.2	28533	158	170887	4430989
Colorado	2002	10058	23183.0	125193	2066	79.5	31678	179	180054	4501051
Colorado	2003	9921	22816.0	124496	1913	82.2	32394	185	179706	4547633
Colorado	2004	11236	24004.0	123308	1945	81.3	33010	201	180322	4601821
Colorado	2005	12351	26101.0	127602	2026	84.7	34746	173	188449	4663295
Colorado	2006	12641	20656.0	110372	2158	80.4	32411	171	163439	4753377
Colorado	2007	11410	16656.0	100519	2075	71.2	28633	155	145808	4861515
Colorado	2008	11760	13349.0	97937	2151	68.9	28054	165	139340	4939456
Colorado	2009	11223	12480.0	95079	2269	67.1	26637	159	134196	5024748
Colorado	2010	10816	11271.0	97534	2230	62.7	26196	129	135001	5047692
Colorado	2011	10346	11002.0	96054	2285	64.5	25725	155	132781	5116302
Colorado	2012	10353	12092.0	101021	2113	65.4	26157	162	139270	5187582
Connecticut	1960	548	3288.0	16653	103	9.3	8452	41	28393	2535234
Connecticut	1961	551	3420.0	18712	64	9.1	9526	25	31658	2614000
Connecticut	1962	565	3798.0	19741	81	9.9	10259	34	33798	2597000
Connecticut	1963	691	4903.0	23397	88	13.7	12553	47	40853	2666000
Connecticut	1964	1158	5717.0	27755	152	15.0	14713	49	48185	2766000
Connecticut	1965	1233	6157.0	27862	148	19.3	15959	46	49978	2832000
Connecticut	1966	1316	7197.0	29919	172	20.9	17728	57	54844	2875000
Connecticut	1967	1629	9392.0	32543	164	32.2	21987	70	63922	2925000
Connecticut	1968	2182	11130.0	42034	238	45.0	28538	73	81702	2959000
Connecticut	1969	2373	12834.0	49891	260	56.5	29624	86	92349	3000000
Connecticut	1970	2649	14682.0	53084	276	70.4	32874	106	100640	3032217
Connecticut	1971	2942	16611.0	56875	367	83.2	32884	96	106370	3081000
Connecticut	1972	3326	14458.0	54798	275	79.1	29489	100	98745	3082000
Connecticut	1973	3388	15893.0	58742	342	84.2	31661	102	106296	3076000
Connecticut	1974	3749	16982.0	70252	345	92.3	41808	101	129042	3088000
Connecticut	1975	3734	17715.0	80581	385	131.5	46815	120	145111	3095000
Connecticut	1976	4140	17510.0	86832	448	122.9	43135	97	147477	3117000
Connecticut	1977	4095	18436.0	81450	521	129.5	41833	132	141719	3108000
Connecticut	1978	4302	20296.0	80500	533	154.8	42207	129	143003	3099000
Connecticut	1979	5998	21905.0	96997	752	193.3	48229	131	167131	3115000
Connecticut	1980	5203	21014.0	95631	670	218.0	52638	146	169283	3095224
Connecticut	1981	5469	18873.0	96927	687	246.1	52990	168	168790	3132000
Connecticut	1982	5167	17411.0	96640	692	208.5	44481	164	158532	3153000
Connecticut	1983	4715	15028.0	89421	627	200.6	39988	129	144437	3138000
Connecticut	1984	5532	13336.0	84630	759	190.5	35607	122	133573	3154000
Connecticut	1985	5843	14007.0	86524	763	190.0	36041	120	136572	3174000
Connecticut	1986	6541	14258.0	87963	760	192.2	38190	148	140411	3189000
Connecticut	1987	6779	16986.0	90852	800	178.1	39120	156	146958	3211000
Connecticut	1988	7656	19899.0	91079	849	187.6	39477	174	150455	3241000
Connecticut	1989	8538	22601.0	91483	892	214.8	40035	190	154119	3239000
Connecticut	1990	9400	24027.0	94485	918	234.8	40355	166	158867	3287116
Connecticut	1991	9230	26188.0	93384	960	224.4	39198	187	158770	3291000
Connecticut	1992	8284	23700.0	89463	884	210.9	36372	166	149535	3281000
Connecticut	1993	7496	19515.0	85876	800	196.7	32052	206	137443	3277000
Connecticut	1994	7745	20167.0	84721	806	187.8	29142	215	134030	3275000
Connecticut	1995	7022	17692.0	87401	776	163.2	29095	150	134188	3275000
Connecticut	1996	7025	16022.0	81328	755	169.6	27574	158	124924	3274000
Connecticut	1997	6918	14541.0	78821	740	152.9	24143	124	117505	3270000
Connecticut	1998	6751	12705.0	77472	728	133.8	21801	135	111978	3274000
Connecticut	1999	6527	11297.0	69299	654	123.5	19298	107	99894	3282031
Connecticut	2000	6450	13099.0	68498	678	112.5	17436	98	99033	3405565
Connecticut	2001	6565	12378.0	65762	639	121.8	17159	105	95299	3434602
Connecticut	2002	5914	11580.0	64735	740	117.6	17111	84	93426	3458587
Connecticut	2003	6023	11370.0	65568	698	120.8	16043	112	92981	3486960
Connecticut	2004	5070	11213.0	66770	755	119.7	15959	100	93942	3498966
Connecticut	2005	4792	10609.0	64416	712	112.3	15245	105	90270	3500701
Connecticut	2006	5212	10290.0	64765	696	127.3	15583	137	90638	3504809
Connecticut	2007	5441	9951.0	60937	690	122.9	15640	113	86528	3502309
Connecticut	2008	5882	8891.0	63212	680	115.5	15107	132	87210	3501252
Connecticut	2009	5824	7461.0	59992	657	113.7	15172	106	82625	3518288
Connecticut	2010	5802	6701.0	56413	595	99.4	15145	133	78259	3575498
Connecticut	2011	5382	6670.0	55067	689	102.9	15468	129	77205	3586717
Connecticut	2012	5408	6449.0	55674	919	102.7	14711	146	76834	3590347
Delaware	1960	144	739.0	5867	41	35.2	2661	33	9267	446292
