song_id	album_id	song_title	year	duration	loudness	artist_id	hotttnesss
SOXCWTT12AC9075756	785362	The Vitalized Shell	2010	240.74404	-4.878	ARZEWUR1187FB53DC8	0.5430528642
SOAFIPD12A8C13A261	298921	Mozart	1989	192.20853	-23.988	AR89DTT1187B9A7ED5	0.6085000789
SOMJPML12A8C13D74E	162273	Ciao Milan		152.0322	-9.414	ARTHKKA122BCFCBF58	
SOCVDYI12AC4687DDB	605167	Lend Me Your Chopper	2004	215.30077	-9.741	ARJDMBO1187B9AD118	0
SOEVGMZ12A8C1421B5	474726	Letter To Heaven	1971	155.21914	-11.965	ARYJSY01187B9B7C65	
SOCGURJ12AB0182AEE	364642	Heaven is Where The Heart Is		207.12444	-12.779	AR77FBJ1187FB49D8D	
SOHTWLT12A8C13CFE1	307651	Inside Job	2006	428.56444	-8.403	ARFVYJI1187B9B8E13	0.6593046692
SOVQZYP12A8C144692	614890	Take A Look  (LP Version)		185.7824	-13.251	ARBM4TC1187FB5CE98	
SOHHANU12A58A77C66	538734	The Czar: Usurper/Escape/Martyr/Spiral (Album Version)	2009	654.28853	-5.884	ARMQHX71187B9890D3	0.6266128027
SOTHWPG12AB018C90E	767591	Bulgarian Dream		306.72934	-6.929	ARYXJ5A1187B9B9E56	0.2707759989
SOOQHNV12AB0186CD4	554760	Amalgama		229.51138	-4.198	ARULHJM1187B997004	
SOSGXRU12AAF3B2B07	528941	Born and Raised In Compton	1991	205.58322	-6.998	AROTIMO1187FB532BF	
SOFRUDU12A8C13A40C	293622	We're Gonna Go Fishin'		127.05914	-12.772	AR0X3JJ1187FB3A9A7	0.4944895175
SONXLQQ12AB0184B54	472444	Robbers Kill Cop		44.35546	-18.147	AR035N21187FB3938E	0.3041695034
SOKPHVH12AB0187460	763206	Relax	2009	203.83302	-7.661	ARA0H5U1187FB47949	
SOIUGDX12A6D4FDECA	239244	Sweet By And By		176.50893	-17.308	AR358YS1187FB44A29	
SOAYYDM12AB01817E6	329967	Orgofart	1986	140.66893	-28.347	ARANOZN1187B9B373E	0.5194485815
SORAJXA12A58A7A4C9	71267	Bitch Is Back	1988	201.09016	-2.869	ARHONG11187FB3B120	
SODJUNF12A8C13337F	282150	Naked Albino	1998	254.79791	-7.309	ARRA2F91187B9B4061	0
SOVDDWO12A6D4F9A78	46723	Johnny Loves Me (LP Version)		143.0722	-15.351	ARSGZ3J1187FB3E610	0
SOFGQAP12AB0185946	575880	Dearly Beloved		163.49995	-25.694	ARMQ32V1187B9999F3	0
SORGLCR12AB0184B69	539974	The Look Of Love		289.64526	-9.435	AR8EDG51187FB41A08	0
SOLBIIE12AB0184DFC	558289	Cooler Than You	1998	124.15955	-4.793	AR1GYND1187B9A9CD3	0.4056521962
SORHOEV12A81C20F71	275722	Taryns Deepest Fear		167.3922	-17.623	AR1PCLK1187FB5BBFF	0.4454545255
SOFPYXC12A58A7A4B9	179267	Summer Dying Fast	1994	321.35791	-6.2	ARF0W6Z1187B9AC325	
SOFQGCQ12AB0183609	517634	Still		263.94077	-19.821	ARWGIOC1187FB4CBEF	
SOEBDBO12AC4688712	686750	Snapshot		341.36771	-9.632	ARZHLNX1187FB4B8E7	
SONIQSB12AB0189829	766687	End Of The Road (Head Hornys Remix)		333.13914	-5.671	ARC25S11187B993923	
SOYNEII12AB0181DB6	545429	7 Miles		349.12608	-11.708	ARKE8PP1187B997DD4	
SOKIGWD12A6701DE9D	15567	The Frail	1999	168.56771	-16.968	ARK9TRQ1187B99C095	
SOHXKAN12AC46872F1	789959	Para Milladoiro	2010	350.71955	-13.038	ARGTUWC1187B9904A0	0
SOQZHMH12A8C13A393	259476	Stone Cold Fingers (Bonus Track)		175.62077	-10.647	ARFS01P1187B9A395A	
SOLEYPL12A6D4F83CE	534031	Snowball	2005	190.24934	-4.172	ARGWIHH1187B9A79B0	0.5430528642
SOZFCNC12A6D4F76F3	23134	(We Don't Need This) Fascist Groove Thang	1981	255.16363	-10.756	AR5MK521187B98E0B8	
SOPUQFS12A8C13DE1E	220650	Drunk Alone		120.2673	-3.422	ARU22AM1187B9961EA	
SOPNRDT12AB018A2D8	515188	Charisma		557.26975	-12.26	ARTB56G11C8A41569D	
SOGTLVU12A8AE47D5D	237520	Going Down Slow	2000	187.53261	-23.527	AR93RTI1187B98ECFB	0.3509795064
SOXNMDZ12A6D4FA20D	64434	All Rise		295.60118	-9.435	AR9AN471187B99E0DA	
SOGOJBW12AB018513B	512027	Jogo Limpo		252.02893	-8.639	ARAR4YH1187B98BF2A	0
SONNOCP12A8C145220	737947	Silent Hill	2009	329.35138	-7.672	AR567PN1187FB4B4F2	0.5708506421
SOUDHTP12AB0183403	495799	Our Love Is Here To Stay		180.00934	-13.668	ARYKF861187B99C74B	0
SOWDEPU12A8C137B14	245279	Everything Changes		244.45342	-6.885	AR4K59J1187FB3759B	0.2358462033
SOJBYGW12A8C13A497	264857	Master Of Disharmony	1996	282.53995	-4.2	ARLSF8H1187B9A76B0	
SOQDTQP12A6D4F793F	23178	(This Is Not A) Love Song (Live)	1983	388.28363	-16.433	ARDG9Z71187B997023	0.2639698202
SOJHKYL12A6D4FA0AC	52141	What Are We Here For	1997	345.93914	-6.951	AR56P361187B9AC4DB	0.4471357963
SOJVWBA12AB018C326	755756	Une petite pause	2010	243.1473	-14.737	ARDDHGI126E2B3AA76	0
SONRSQW12A6D4F6D1C	53826	Wig	1986	261.74649	-9.628	ARVML631187B99E90D	0.7140465528
SONTBYD12A58A77A29	215830	Perasmena Mesanihta		172.25098	-8.46	ARBKMHZ11F4C843491	
SOMKMPB12A8C1447D0	754188	God Save the Queen (Live)	1988	216.60689	-3.736	ARD3LXU1187B9ABFC5	0.4137398359
SOSGQPS12A8AE48538	279702	Forever		363.59791	-4.376	ARXOTQH1187FB57084	
SOKENJQ12AB017EC8C	409251	Sun Is Shining	2004	271.77751	-6.947	ARMG6K31187FB55677	0.3195659869
SOBNTXB12A8C1428BA	646806	New Age		330.65751	-12.279	ARFUSID1241B9C9462	
SOIKIJC12AC3DFB3D2	603055	Have Yourself A Merry Little Christmas	2005	133.27628	-15.736	ARC6UC81187B989062	0.3603705827
SOFJNQR12A6D4FAE92	435050	U Killed It	2006	264.69832	-5.871	ARKZJ301187FB521B2	0.566988444
SOGDFIT12AB018528B	340310	Rain And Snow		228.51873	-12.053	ARVKAWO11F50C47C9A	
SOOIZTH12AB018C12E	752185	Gerra De De		240.3522	-6.248	ARHXBJI1241B9C8B7F	
SOQPJUL12AB0189379	667517	Kako mi je pitas sad		145.57995	-13.703	ARTFLEU1269FCD1FE3	
SOMBQEO12A8C135018	150501	Voices On The Corner		235.80689	-9.716	AR0LVFQ1187B9A84E0	0.2538347361
SOCQWKZ12A8C13CE4C	105115	(Bloody Paw On The) Kill Floor	2007	192.1824	-6.258	ARU9KWP1187B98B2A7	0.5194030457
SONETAN12A58A7ACEB	142192	I Wish My Mother Was Here	1989	418.87302	-11.702	ARZ05QG1187FB3843E	0.4373517614
SOKEXTF12A8C13AE7E	296995	Inolvidable	2003	198.26893	-14.509	ARTEGHH1187FB435C8	0.6765489056
SOUJISW12CF4E09416	146503	Miracle	1996	420.10077	-9.062	ARASSX21187FB528B7	
SOJKDKH12A58A761A2	223472	Witch Weed (Live)	1999	397.26975	-6.788	ARRH2S81187B98C8AA	0.4605412814
SOTWWBZ12AB01845E0	457879	Not Buried Deep Enough	1995	229.79873	-12.772	ARSF4161187B9B449F	0.4952936213
SOKZTUH12AB018B938	816840	Give Me 40 Acres (To Turn This Rig Around)		150.64771	-9.258	AR87OXB1187FB39E0B	
SOQDTZG12A8C1442E3	319844	Ernesto Nazareth		286.14485	-24.597	ARCLCFS1187B9AE476	
SOIFOLA12AB017CDA1	333103	The Cube (Live)	2001	384.70485	-8.161	ARWAPYC1187FB3FCAF	
SOKHVZO12AB0184C4D	775316	Get Back Down		415.03302	-6.751	ARILV5E1187B9959C8	0
SOMISOP12AC468D9D5	599989	Battle Of The Rosebud / Cries		133.53751	-29.295	ARHSAFX1187B98E89A	
SOOZKNQ12A6D4F6FD4	80339	Beyond the Light		266.70975	-12.658	ARGR9FY1187FB4D0E7	
SOGOQGE12AB0182907	624887	Spaceman	2008	284.3424	-6.546	ARVG4OK1187B9B6BD3	
SOWTIDJ12AB018808C	726003	Pulecenella 'e mò		179.06893	-17.522	ARGCY1Y1187B9A4FA5	0
SONIHLC12AB0187B0C	811387	Iskorosten' (instr.)		100.5971	-10.777	ARYFROT1187B9B78C2	
SOLBHCO12AB018769A	460988	Big Stax/High Volts (Album Version)		320.60036	-9.993	ARIN12F1187FB3E92C	0
SOVZVPT12AB018A59E	590998	It Goes On		302.36689	-12.99	ARMZ4PD1187B9ACBCD	0
SOZWDHS12AB0188A33	509285	Pecado De Amor		284.70812	-8.339	AR0CWSC1187B9AFE3F	
SOFSKON12A8C13B3B5	2016	Illuminate	2001	327.8624	-6.531	ARD5K161187B9AC784	0.6885218441
SOBOCAG12A6BD55D56	74586	Never Forget Me	2007	286.30159	-6.933	ARUZRFN1187B98AC05	0.5578803889
SONCYFS12A8C14261E	312976	Ukkosenjumalan poika	2001	356.49261	-4.178	ARSTH0R1187B98951E	
SOTNBNN12A6D4F6CC7	160605	A B***** Is A B***** (Edited)	1989	168.75057	-8.91	ARSL5SP1187B9A7AE0	0
SOXZLDX12A58A7CE52	282493	Kick Out The Jams	2000	201.56036	-2.069	ARCE0H01187B9AF741	
SOEESQT12A8C13C7D5	161810	Me And My Buddy		185.67791	-16.844	ARW4AGO1187FB4F107	
SOSKUNI12AB0187F12	559004	Amber Changing	2003	218.8273	-3.803	ARZWK2R1187B98F09F	0.6964694366
SOSLFMU12AB018FFEA	681616	Murder Academy	1995	303.04608	-10.57	ARDOOH01187B991055	0.2150803185
SOOKISK12AB0180667	405643	Hey Daddy	1999	224.522	-6.694	ARMBTFC1187FB56343	
