count	familiarity	long	names	lat	artist_id	hotttnesss	location
1	0.6546234634		Letters To Cleo		AR07QYZ1187FB5BF78	0.4067570868	
3	0.6236968631		Mungo Jerry		AR07VS41187FB37944	0.4002112979	
1	0.4171644223	-74.00712	Reach 454	40.71455	AR08DYV1187B99A0D7	0.3172885977	US
3	0.4739633332		Daath		AR08GQF1187B98E316	0.3507066599	
1	0.4295076718	-92.43659	Die Symphony	38.2589	AR08NXW1187B99526D	0.2620939623	US
4	0.5296593309		The Freedom		AR08YJF1187B9B2D59	0.3131120318	
3	0.5199696977		M.A. Numminen		AR0A30G1187B9B183B	0.4197766452	
4	0.5660243022		Regina Belle		AR0AVIB1187FB37D01	0.3846016855	
4	0.5828046938	-92.58685	Charlie Rich	34.56398	AR0B1CH1187FB3A824	0.4486690739	US
4	0.8220349622	-84.50469	Why?	39.10644	AR0B3RS1187FB48F5D	0.4770197895	US
1	0.4850492683		Silvério Pessoa		AR0B5HI1187B9B9DB9	0.2582240903	
3	0.4662622096	-119.05505	Uphill Battle	34.47326	AR0B6VD1187B99C293	0.3696098346	US
2	0.4041050865		Fyah Blaze		AR0B8CT1187B9B2CF3	0.2152722592	
1	0.6073270681		Jeremy Fisher		AR0B9V01187FB55276	0.5004501863	
1	0.3503927172		The Dreamtree Project		AR0BATO119B34038DB	0.2936687668	
2	0.5266907318		The In Crowd / Jah Stitch		AR0BLA51187FB4E6CD	0.3784783091	
6	0.6320080128		Lee Ritenour		AR0BV7E1187FB386C1	0.1446846609	
5	0.8048388888	-118.24532	Dilated Peoples	34.05349	AR0CANF1187B9AF35F	0.4578411561	US
6	0.6042587284		Asleep At The Wheel		AR0CDSK1187FB52ED6	0.4610230157	
3	0.4780835211		Christophe Beck		AR0CWOB1187B99FA08	0.3783873978	
2	0.4295449417		José Augusto		AR0CWSC1187B9AFE3F	0.3224681545	
2	0.6051163549		Obie Bermudez		AR0CZWN1187B9A47E2	0.3475228268	
1	0.6960303007		Eazy-E		AR0D6EL1187B9AF46B	0.5294534525	
1	0.4418164392		Daniel Chan		AR0DQEE1187B9A22DC	0.3171853346	
4	0.5932626548		Wailing Souls		AR0DSOO1187B9B855E	0.3720690582	
1	0.5103779039		Eddie Henderson		AR0DTOH1187FB4B83A	0.3385424503	
1	0.4221030434		Ras Michael and the Sons of Negus		AR0FGL21187FB56301	0.3405238268	
1	0.4070448062		Eduardo Dusek		AR0FQ071187B9ACEC0	0.2904050897	
4	0.4462566665	0.48883	Frank Chacksfield	50.91552	AR0G47L1187B98CC6D	0.3463575222	GB
1	0.5102598288		Dean Evenson		AR0GB821187B99FE96	0.3630502468	
4	0.6226841673		Eddie		AR0GGKI1187FB391D5	0.3737495491	
2	0.5462067114		Enslavement Of Beauty		AR0I2BV1187FB3D89F	0.3545173426	
2	0.3318741465	-80.11278	Danilo Perez	8.4177	AR0IAWL1187B9A96D0	0.2771195135	PA
1	0.582034796	-84.19444	Mouth Of The Architect	39.75911	AR0ILWV1187FB47CAA	0.4690559757	US
5	0.7765989678	-74.00712	Helmet	40.71455	AR0IVSA1187FB4F069	0.4900795842	US
2	0.5820617445		The Scare		AR0J0OD1187FB3AFB5	0.4049100136	
4	0.3770340851	-100.07715	Erik Berglund	31.1689	AR0JEOI1187B98B918	0.3361911557	US
7	0.5771581238		Lyrics Born		AR0JPOG1187FB37383	0.512197243	
1	0.58763068	-73.61689	Illya Kuryaki And The Valderramas	41.39447	AR0JURX1187FB3C8FF	0.3661579449	US
2	0.2823175883		Oscar Lima		AR0JVUH1187B9918B5	0.1041016658	
7	0.9289369262	-93.61566	Slipknot	41.58979	AR0KBXO1187B996460	0.5985554119	US
1	0.0534099735		Patrick Samson		AR0LCRP1187B9B4C5A	0	
1	0.3708488715	-5.93494	Derek Bell	54.5958	AR0LPDJ1187B9919F1	0.3268101229	GB
5	0.4580551794	-74.00712	Jason Miles	40.71455	AR0LVFQ1187B9A84E0	0.3717608954	US
2	0.637181284	-0.12714	The Master Musicians of Jajouka featuring Bachir Attar	51.50632	AR0N0DX1187FB41327	0.449139951	GB
2	0.6428707133		Kaizers Orchestra		AR0N8D61187FB3D0D6	0.463391452	
2	0.5564100131	-72.67407	Gene Pitney	41.76332	AR0N9BV1187FB3AD01	0.3965962748	US
2	0.4893600465	0.64255	Neil Innes	51.77045	AR0NKFJ1187B9AF1FF	0.3621134776	GB
2	0.4420249811	-97.32925	Gary Morris	32.74863	AR0NQD81187FB3AD13	0.2860326169	US
3	0.5281976857		Zuma		AR0NS5Z1187B99AF79	0.3345551456	
9	0.701441759	-74.00712	Wayne Kramer	40.71455	AR0O3AV1187FB4D030	0.504307726	US
4	0.421792253	-1.20788	Catherine Howe	53.93063	AR0OEYB1187FB4A81E	0.3192097208	GB
2	0.7520580962		Kirk Franklin		AR0OQPL1187B9B549A	0.4863705097	
5	0.4477250754		Los Del Rio		AR0OTEX1187FB3600D	0.3511702117	
4	0.4921993313	-74.00712	Marvin Hamlisch	40.71455	AR0PUK71187B9AC3C0	0.3449724561	US
2	0.445456861		Dallas Holm		AR0Q5531187FB45143	0.2876679412	
4	0.5881407224		Clara Nunes		AR0QL3J1187FB3748E	0.3667412332	
6	0.4986768304		Sandy Lam		AR0QS8F1187B9ADC96	0.3541689548	
2	0.5227140753	-6.24953	Ronnie Drew	53.34376	AR0QT3O1187FB56860	0.3858666236	IE
7	0.523714637	-94.10158	Billie Jo Spears	30.08615	AR0RCMP1187FB3F427	0.384611084	US
2	0.5182916461	-90.19951	Disco D	38.62774	AR0S0EO1187FB490BE	0.3756769293	US
5	0.831240277		Christina Aguilera		AR0S7TA1187FB4D024	0.7257460819	
1	0.3600780657		Esion Jim		AR0SG9V1187FB48F36	0.2585051609	
1	0.4727702742		For Squirrels		AR0SY101187B9B44BE	0.349457929	
1	0.5300303136	-74.00712	Beat Pharmacy	40.71455	AR0SZW11187B98C5E5	0.3444025752	US
1	0.4461515049	-83.04792	"Dave ""Baby"" Cortez"	42.33168	AR0TZ7T1187B994E37	0.3112698847	US
2	0.6147555887	-0.12714	Republica;Jonny Male;Dave Arch	51.50632	AR0U44O1187B99007C	0.3964903519	GB
1	0.4468012702		Sukhbir		AR0V0SR1187B99DDB4	0.3237570153	
5	0.6626702065	-8.24055	The Chieftains;Colin James	53.41961	AR0V36F1187FB366B1	0.3789698005	IE
1	0.4406619729	-122.42005	The Products	37.77916	AR0VIQV1187B9978F8	0.2938429554	US
1	0.5960115042	15.21751	Truckfighters	59.27074	AR0VR1O1187B9A0F1F	0.3503493044	SE
2	0.3198683242	10.45415	Rocky Hill	51.16418	AR0VS771187B99564F	0.1955318284	DE
4	0.6683706116	144.96715	The Berzerker	-37.81753	AR0VZWC1187B99BA57	0.4575539098	AU
3	0.4674138438	-74.00712	Doug MacLeod	40.71455	AR0WAW61187B98B7D7	0.3727376133	US
2	0.6385906167		Tommy Torres		AR0WCZW1187B99F592	0.4160192339	
5	0.6748394358		Slum Village		AR0WGXC1187B9AAC99	0.4254506139	
2	0.7957297002		Owl City		AR0WLH6119B8669027	0.6935247202	
1	0.6024282061		Marc Et Claude		AR0WM6W1187FB46730	0.380406692	
2	0.3467445105	-74.00712	Richard Smith	40.71455	AR0WQ1Q1187B992E16	0.306784017	US
1	0.4918359591	-1.03182	Rhian Benson	7.95501	AR0WV4Y1187B99B806	0.389414014	GH
1	0.456599589	-71.08868	The Red Telephone	42.31256	AR0WXWU1187B9AB33F	0.1863963185	US
9	0.6357570221		Hank Locklin		AR0X3JJ1187FB3A9A7	0.3794369722	
1	0.4648077262	-84.19444	Drexel	39.75911	AR0XJ291187FB45855	0.3670667055	US
3	0.7004466144	-0.12714	Buzzcocks	51.50632	AR0XSOO1187B9B9E88	0.5287952061	GB
1	0.5894834059		Dala		AR0ZBRM1187FB54F5E	0.376745429	
1	0.5788817038		Tabu feat. Mitzib		AR1072G1187FB5B351	0.4449001493	
8	0.373850623		Bézu		AR107SB1187B9A79F9	0.148985481	
1	0.5013627001		JK		AR109IQ1187B98E487	0.3759776545	
7	0.8011364496		Silverstein		AR10USD1187B99F3F1	0.6055071357	
5	0.5736123994		The Roches		AR11NP91187B9901B4	0.3722512079	
3	0.8274093652		Dixie Chicks		AR11YQ81187FB3C654	0.576902281	
2	0.2934330069		Albert Préjean		AR1206S1187B9AF3EA	0	
5	0.4844630441		Candy Lo		AR126G61187B9B88A6	0.3425370032	
3	0.5874664367		The Pineapple Thief		AR12EOE1187FB3AE26	0.4851982631	
12	0.8725365987		Aerosmith		AR12F2S1187FB56EEF	0.6107314629	
1	0.424849475	-95.36978	Ricardo Lemvo	29.76045	AR12MUW1187B9A5DF4	0.2846889553	US
1	0.291070245		Daylight Torn		AR12P091187B99B50F	0.2382928079	
3	0.3947682707		Charlie Byrd Trio		AR137UW1187B98CCBA	0.1754111811	
5	0.7757973627	-0.21346	The Clash	51.52328	AR13CXU1187B9AD30A	0.6011860595	GB
5	0.5641289501	-84.36354	Eddy Arnold	35.52069	AR14CJ91187FB3A994	0.3977756543	US
1	0.5632405474	-77.60454	Poptart Monkeys	40.99471	AR1518Q1187B98A906	0.3732823132	US
1	0.6111718221	-76.79731	Chaka Demus & Pliers	18.01571	AR15FQ11187FB36BE8	0.3999677577	JM
4	0.3441650494		Natassa Theodoridou		AR15O341187B9B182C	0.3031895566	
4	0.4059239067	12.56935	John Tchicai	55.67631	AR15YLD1187FB3D4DD	0.2813962844	DK
1	0.5272798428		Terry Dexter		AR163QH1187FB42E0D	0.3206600172	
3	0.7670202104		Eagles		AR16GSC1187B9A6291	0.6295148	
4	0.5328453026	6.63233	Kruger	46.51959	AR16NGV1187FB5B8BC	0.3505121318	CH
2	0.3847201384		Zimbabwe Legit		AR16T2D1187B98ABF4	0	
1	0.3878310523	-96.7954	Donnie Brooks	32.77815	AR180PG1187B997BAE	0.2694964785	US
5	0.6949834091		Gustavo Cerati		AR189B91187B9B8D9C	0.4297802858	
2	0.5373852674		F.I.R.		AR18AJW1187FB3F9FA	0.3705407264	
2	0.3306470515		Louisa Mark		AR18B3W1187B9A5AAA	0.2732692093	
1	0.6852219345		Dope Stars Inc.		AR18SS11187FB4852B	0.4260356621	
1	0.6103494264		Neon Blonde		AR18VAV1187B9AEC0C	0.3494833889	
2	0.7829842112	-118.24532	Sick Puppies	34.05349	AR190KO1187B9905EC	0.6751177188	US
6	0.7315905925		Simply Red		AR198711187B9AD09F	0.4985636113	
3	0.4212091466		Madilu System		AR199MY1187B9B731E	0.2946078928	
2	0.5638459848	-74.00712	The Bucketheads	40.71455	AR19GQN1187FB3ACF5	0.3445406008	US
3	0.5248213929		Captain Hollywood Project		AR19JS91187B98CB66	0.362162159	
3	0.7756003458		Cassidy		AR19QNR1187B9A13C5	0.4349226453	
1	0.435026684		Kako		AR19QZ01187B99C74D	0.325333872	
3	0.4342720374	-74.00712	Bob Neuwirth	40.71455	AR19SOA1187B98F6E6	0.3015024619	US
5	0.8389243105	-83.04792	Alice Cooper	42.33168	AR1ABAO1187FB531E1	0.6077927515	US
2	0.486766782		Theodor Zox		AR1AIC51187B98C03F	0.3361063415	
1	0.3531355758	-84.10729	Helen O'Connell	40.74269	AR1BA6K1187B9A5656	0.3007431863	US
1	0.4910718142	-90.04892	Wendy Moten	35.14968	AR1BZED1187FB4CDEE	0.3022556892	US
2	0.7978900102	-1.9086	Electric Light Orchestra	52.47859	AR1CB5G1187B9AFB8E	0.5313993292	GB
4	0.7259748663	-94.37517	Pat Metheny	38.91391	AR1CD5Z1187B98F2C2	0.4639795139	US
4	0.5285279586	-80.99001	Statues	46.49	AR1DC0611A348EFB30	0.3356776094	CA
4	0.4507431775		Eddie Turner		AR1DGSO1187FB59B15	0.3312149898	
5	0.5650898922		4Him		AR1DLF21187FB3CBF0	0.4485938026	
4	0.6033831453		Kathy Mattea		AR1DR0E1187FB48F61	0.4221271993	
2	0.5692453958	-118.24532	Telecast	34.05349	AR1E4V11187B99F400	0.4277956989	US
1	0.4323237683		The Galactic Heroes		AR1F3IJ1187B9980B4	0.297809313	
1	0.0543062406		Angela Stewart		AR1FOAY11C8A415F1E	0	
1	0.7967974141		The Exies		AR1GNFR1187B9AD1FD	0.4532599251	
1	0.4325296592	-93.26493	Prince With 94 East	44.97903	AR1GW0U1187B9B29FD	0.3393851258	US
3	0.567814264	-122.71242	Diesel Boy	38.43773	AR1GYND1187B9A9CD3	0.376688631	US
1	0.5084959133		Sunidhi Chauhan / Anu Malik / Jatin Sharma		AR1H4F51187B9946A5	0.405767033	
1	0.632608749		TYR		AR1HK7B1187FB55747	0.4318541832	
1	0.5926995482		SKYCLAD		AR1I9KS1187B9AEFD4	0.4295450846	
1	0.4333963072		Rhinostar		AR1IL0W1187FB58B65	0.2700937131	
3	0.4792180009	-89.50409	Joanna Connor	39.73926	AR1IY3B1187B98B384	0.3328565145	US
1	0.6069013825		The Katinas		AR1IY711187B9B0B50	0.4389328495	
1	0.6623740259	-122.42005	First Blood	37.77916	AR1J7881187B9959D8	0.3888819542	US
3	0.6018919753	8.80466	James Last	53.07516	AR1JD6E1187FB5696C	0.3806563595	DE
1	0.5939417136		Dead Hearts		AR1JEKW1187B9ADFBE	0.4540754465	
6	0.4668979601	-92.26831	Jo-El Sonnier	30.23513	AR1JGQT1187FB56878	0.320165416	US
1	0.6830660992		The Knux		AR1K7TQ11C8A414EC8	0.4459694344	
5	0.5575710592		Lara		AR1KMPF1187B99AA98	0.3069476086	
1	0.6746337343		Weedeater		AR1LG7D1187B99BAFF	0.4211201115	
1	0.480377596		Bruce Carroll		AR1LKDU1187B991E0B	0.3454468162	
7	0.5228881319		La Portuaria		AR1LQNB1187B9A6AE5	0.3057190598	
1	0.4130268848		Winston McAnuff_ The Bazbaz Orchestra		AR1M7ZD1187B9B0D55	0.2782635398	
1	0.6496778908		Andres Calamaro		AR1N3PB1187B9B25C1	0.5273681628	
8	0.540037749	-82.4167	Mongo Santamaria	23.0833	AR1N6N61187FB4E25E	0.3600533065	CU
1	0.5932406439		22-20s		AR1NJEP1187FB4F4C1	0.4642775002	
2	0.6122448168		Jazzy B		AR1NRA91187FB404C3	0.3168532595	
1	0.5058461446	-81.37739	Skrape	28.53823	AR1NT3H1187B99F67B	0.3665927133	US
8	0.84219335		Behemoth		AR1OBRC1187FB59AD4	0.5504228249	
7	0.6987704778	-74.72671	Angelo Badalamenti	40.14323	AR1PCLK1187FB5BBFF	0.399451724	US
1	0.5975318646	-95.36978	El Gran Combo De Puerto Rico	29.76045	AR1PNWN1187FB4A404	0	US
7	0.3512692912		Hélio Ziskind		AR1PQYO1187B98BEC9	0	
3	0.6111809474		Generation X		AR1PRQ21187FB3B481	0.3990337696	
1	0.3026739249		Aurlus Mabélé		AR1PXQC1187B99E17A	0.2710513463	
2	0.7456251877	-73.41853	De La Soul / MF Doom	40.67856	AR1Q25M1187B9B0D73	0.5130656545	US
2	0.5425125284		Sticky Fingaz		AR1QXAQ1187FB47FAC	0.403784235	
5	0.5781036297	-122.42005	Vince Guaraldi Trio	37.77916	AR1RHCO1187B9AF0BF	0.4148926124	US
1	0.4771512933		Lambda		AR1RKB91187B9A56CB	0.3340808242	
3	0.8992795991	-119.27023	Incubus	37.27188	AR1RMYB1187FB5A59E	0.5794419379	US
1	0.6478020299	-97.74298	Fastball	30.2676	AR1RNCJ1187FB3D227	0.4632640192	US
1	0.4578713261		Mick Clarke		AR1RZ1E1187FB5A62E	0.2999947484	
2	0.4865626432	-119.27023	Chris Eaton	37.27188	AR1S5O61187B9898AC	0.3336632036	US
2	0.4919107714	-118.24532	Lauren Wood	34.05349	AR1SFKQ1187B98AF13	0.3834703275	US
4	0.700570065		Kent		AR1SQSG1187B9AC782	0.4875956477	
1	0.580600204	7.19655	Kira	51.27156	AR1SYBE1187B992798	0.4360447923	DE
1	0.5644969719		God Lives Underwater		AR1U3BY1187B9B136F	0.3633864154	
2	0.5965936235		Tullycraft		AR1USMR1187B9B6CD1	0.3700367944	
1	0.5099846246	-118.24532	Rod Piazza & The Mighty Flyers	34.05349	AR1VB2W1187B9901C5	0.322704932	US
6	0.5924949801		Tum Tum [DJ Drop Mix]		AR1VCLT1187FB4C8AC	0.3506289469	
1	0.4073722806	-1.61237	The Animals_ Sonny Boy Williamson	54.97791	AR1VWD91187FB4CE99	0.4824868021	GB
5	0.4908979884	-100.07715	Danny Wright	31.1689	AR1W3MA1187B99E6D8	0.365302191	US
3	0.62812134	-122.42005	Jefferson Starship	37.77916	AR1WC0X1187B991056	0.4189468713	US
1	0.5033546142		"Buzzov¬""en"		AR1WDRJ1187B9BA4B8	0.3015058775	
1	0.4949114834		Dealership		AR1WLWQ1187B989B85	0.307188709	
2	0.6098143604	-120.95071	Terry Riley	39.09551	AR1WU211187FB57E2B	0.409762631	US
5	0.5024531765		Maurice Chevalier		AR1X2H01187B98CCF2	0.391585329	
1	0.7808156185		Ruben Cossani		AR1XA631187FB57662	0.5726646896	
4	0.5889385098	-118.24532	Kane	34.05349	AR1XE381187FB4C685	0.3779615323	US
1	0.0584009372		Koordinate Of Wonders		AR1XR3N1187FB372C5	0	
1	0.5531765092		Natalie MacMaster		AR1XUYS1187B9A44D7	0.3808093263	
2	0.5358226098	-120.51484	I Nuovi Angeli	44.11559	AR1XVTM1187B996D57	0.3458002284	US
1	0.3803411536	-89.57334	Noah Lewis	35.6731	AR1XZ0N1187B9941D5	0	US
2	0.5006567279		Anat Ben David		AR1Y0N71187FB43209	0	
5	0.5605579839	-82.32547	John Wesley	27.94017	AR1Y2PT1187FB5B9CE	0.4527894768	US
3	0.7102691667	-74.00712	Suicide	40.71455	AR1Y37Q1187B9B66D2	0.3949088969	US
3	0.3632805711		Faiz Ali Faiz		AR1ZHYZ1187FB3C717	0.3066760935	
7	0.74151813		Kraftwerk		AR1ZKBE1187FB53629	0.5204121101	
1	0.4941316522	-123.08854	Cadet	44.04992	AR1ZNJO1187B993E46	0.3635661832	US
7	0.6797481414		Naughty By Nature;Naughty By Nature featuring Zhane		AR1ZYLH1187B98C159	0.4585954029	
2	0.6455339965	-74.72671	Bumblefoot	40.14323	AR1ZZOW1187B99BA84	0.4484074421	US
6	0.6117882539		Tanto Metro & Devonte		AR202MX1187B9B0383	0.3367268414	
2	0.5927973463	-76.29771	Patton Oswalt	36.83264	AR20BO61187B9B880E	0.4536297181	US
3	0.7599125263		Ray Charles		AR20CFC1187B98A25D	0.673207275	
1	0.4697796003		Time Zone		AR211WC1187FB52425	0.3458666651	
3	0.7906959391		ATB		AR219DK1187FB4CEFC	0.5081770852	
1	0.5645840428		Beto y sus Canarios		AR21EJD1187FB3B9A9	0.4094136196	
1	0.3214484331		Six Brown Brothers		AR21JFF1187B9A5CBA	0	
5	0.1842501468		Bill Murk		AR21JV01187B999138	0	
1	0.4801615982		12 Gauge		AR21K7Q1187FB3D248	0.1607405449	
6	0.5896946052	-0.12714	Ms. Dynamite / Bounty Killer	51.50632	AR21YNH1187FB49649	0.3838637043	GB
3	0.6098967932	-112.18628	Marty Robbins	33.53858	AR223M11187B9ADDD6	0.479045991	US
5	0.5008761601		Kaija Koo		AR22KLC1187B98E812	0.3792280691	
3	0.3830736118		Five Fingers of Funk		AR22KZ51187B9A0A31	0	
2	0.5458034331	139.74092	Shanadoo	35.67048	AR22R8A1187FB46B9E	0.3361415781	JP
3	0.8834870798		50 Cent		AR23C041187FB4D534	0.5886499589	
6	0.409827635	-74.72671	The American Boychoir	40.14323	AR23EC41187FB4805D	0.2918834218	US
1	0.4070193135	-95.27023	Al Dexter	31.96305	AR23F7J1187B9A550F	0.3076006641	US
1	0.3507553076		Jaco & Mixxmaster		AR23MLO119B8668CDA	0.1974266797	
1	0.4869217964		Rainie Yang		AR23SSG1187FB3AC75	0.3700959288	
8	0.5344643522	-90.18049	Otis Spann	32.29869	AR243ZT1187B9A98D2	0.3686893725	US
3	0.5196863133	-98.49462	Sir Douglas Quintet	29.42449	AR25LGJ1187B9B2492	0.3823893699	US
5	0.5527198181		Francis Lai		AR25WM21187FB461B3	0.371711094	
3	0.6964509393		Warrant		AR261YW1187FB374B3	0.4891498166	
3	0.6632319848		Conway Twitty		AR26X1C1187B9B0A1B	0.4937110766	
2	0.5183370258		Geggy Tah		AR26XQ61187FB36CF3	0.3353351083	
1	0.4713914963		Jordan & Baker		AR27CRT1187B9BA011	0.2588908204	
1	0.528865832	3.06281	Les Blaireaux	50.63718	AR27XEH1187FB4EC83	0.3989941164	FR
3	0.5220082325	13.1876	YGGDRASIL	55.70622	AR280881187B98BA28	0.3470981051	SE
1	0.5657506437		James Ingram		AR286CH1187B9B8441	0.4615262171	
1	0.4861764594		Dijous Paella		AR28FIY1187B996C77	0.2882187635	
2	0.3460734761		Bröderna Djup		AR2ABYH1187B9A0C67	0.2473593192	
2	0.7804127098	-118.24532	Year Long Disaster	34.05349	AR2AGLK1187B9AAAD0	0.369803828	US
1	0.7046829515	-96.7954	Jeff Johnson	32.77815	AR2B3VQ1187FB54129	0.3759552443	US
2	0.4730768813		Marcelo Radulovich		AR2B8ON1187FB58456	0	
2	0.5287363533		Jeff Beck Group		AR2BBHS1187FB4AE06	0.3213669968	
4	0.6279174684	-90.71913	Dax Riggs	29.59733	AR2BG0R1187FB398C3	0.473918437	US
1	0.4307870153		Raymond Lefèvre		AR2BU3O1187B98EBDA	0.3120473002	
1	0.3844239499	-85.32281	Roy Roberts	36.38418	AR2C9UQ1187B98E69F	0.2523336558	US
4	0.5536370862	13.37698	Basic Channel	52.51607	AR2CM6U1187B999EB7	0.3602004479	DE
4	0.4218531635		Johnny Pearson		AR2D0XK1187B98EC4A	0.3239973686	
1	0.5394012051		FIR		AR2D6TV1187B9B2FBF	0.384202939	
1	0.3004990466	-102.61916	Wesley Tuttle	38.08767	AR2DKN01187FB3AA39	0.1124178676	US
2	0.6354834551	12.66538	Old Man's Child	64.55653	AR2EBRG1187B9B07C8	0.4284419403	NO
2	0.5043005161		Satan's Host		AR2EHC11187B9AD895	0.3799028662	
2	0.6752954695		Brian Tyler		AR2EO6H1187B9A3B92	0.4426967196	
1	0.4815999489		TAKARU		AR2F0FX1187B9A9ECE	0.3501816897	
1	0.2501481696		Gina V. D'Orio		AR2F37U1187B990860	0.1240100973	
1	0.5381047485		Sounds Of Blackness		AR2F4501187FB3EC2E	0.3705666837	
4	0.9092472835		AFI		AR2FAMK1187FB4CF60	0.5549385225	
3	0.4882373664	-85.97874	Legacy Five	35.83073	AR2FJV21187B98EBE3	0.3673553436	US
3	0.7309590855		Ricky Martin		AR2FSX31187B98E3EF	0.4814269365	
2	0.4989461484	-83.04792	James Carter	42.33168	AR2G8SU1187FB4A871	0.3390207467	US
5	0.4283002674	-149.10568	Barbara Fairchild	63.03654	AR2G8UI1187FB3F33C	0.3712375736	US
2	0.5531289993		Pescado Rabioso		AR2GU4Y1187B99F35E	0.4254178718	
3	0.7668262055		Danny Elfman		AR2H1J41187FB5C640	0.549445961	
1	0.5759827021	-77.029	Jaydee	38.8991	AR2HFII1187FB378BC	0.371026654	US
5	0.592472073		Jesus Jones		AR2HXXS1187B9AF3E2	0.4206274013	
4	0.5485851302	-3.53444	Francis Dunnery	54.48303	AR2J2WF1187FB46271	0.3835242473	GB
1	0.4935930236	-73.88137	Ethel Merman	40.77735	AR2JD2Z1187B998A90	0.3412547693	US
2	0.5253329137	-4.42016	Fran Perea	36.71832	AR2K2CM1187B98D4F1	0.3833943222	ES
1	0.4203644632		Andre Popp		AR2KPDL1187B9A6BD8	0.3362195326	
4	0.7981586559		Petra		AR2KSTE1187FB57A36	0.4753930634	
2	0.3197049419		Marcel Azzola		AR2L2GV11C8A42C818	0.2166064649	
2	0.5444882011		Marshall Crenshaw		AR2MD2P1187FB5B328	0.4032504657	
4	0.6061934961		Jeff Scott Soto		AR2MEUK1187B992D1B	0.407344288	
1	0.4219175607	149.12656	David Robertson	-35.30654	AR2N0221187FB48FB8	0	
3	0.6741604754		Roni Size		AR2NJG71187FB5203E	0.478490733	
1	0.0369289097		Rincon Morales		AR2NJW11187FB3F474	0.157207694	
1	0.5758057153		Black Tambourine		AR2O20V1187B989AF6	0.3971703415	
